Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""""","=""""",5,3.88,Signet Book,Mass Market Paperback,704,1996,1943,2012/07/01,2020/11/23,,,read,,,,1,,,0,,,,,
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",4,4.08,Tor Books,Paperback,382,1994,1986,2013/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0312861877""","=""9780312861872""",4,3.80,Tor Books,Mass Market Paperback,592,1996,1991,2013/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
16059350,"Earth Afire (The First Formic War, #2)",Orson Scott Card,"Card, Orson Scott",Aaron Johnston,"=""0765329050""","=""9780765329059""",3,4.06,"Tor Books, New York",Hardcover,399,2013,2013,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
13151129,"Earth Unaware (The First Formic War, #1)",Orson Scott Card,"Card, Orson Scott",Aaron Johnston,"=""0765329042""","=""9780765329042""",3,3.97,Tor Books,Hardcover,368,2012,2012,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0765342405""","=""9780765342409""",4,4.30,Starscape,Paperback,469,2002,1999,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
9534,"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812565959""","=""9780812565959""",4,3.96,Tor Books,Mass Market Paperback,451,2001,2000,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
234724,"Shadow Puppets (The Shadow Series, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0765340054""","=""9780765340054""",4,3.89,Tor Books,Paperback,384,2003,2002,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
8647,"Shadow of the Giant (The Shadow Series, #4)",Orson Scott Card,"Card, Orson Scott",,"=""1841492051""","=""9781841492056""",4,4.00,,Hardcover,388,2005,2005,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
12040447,"Shadows in Flight (The Shadow Series, #5)",Orson Scott Card,"Card, Orson Scott",,"=""0765332000""","=""9780765332004""",4,3.81,Tor Books,Hardcover,237,2012,2011,2014/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
552987,"A War of Gifts (Ender's Saga, #1.1)",Orson Scott Card,"Card, Orson Scott",,"=""0765312824""","=""9780765312822""",3,3.67,Tor Books,Hardcover,126,2013,2007,2013/01/01,2020/11/23,,,read,,,,1,,,0,,,,,
7957,"First Meetings in Ender's Universe (Ender's Saga, #0.5)",Orson Scott Card,"Card, Orson Scott",,"=""0765347989""","=""9780765347985""",0,3.84,Tor,Paperback,212,2004,1999,,2020/11/23,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
15847717,"Young Zaphod Plays It Safe (Hitchhiker's Guide to the Galaxy, #0.5)",Douglas Adams,"Adams, Douglas",,"=""5511976873""","=""9785511976877""",0,3.68,Book On Demand Ltd.,Paperback,11,2012,1986,,2020/11/23,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",3,4.21,Del Rey,Paperback,250,2005,1980,2020/11/01,2020/11/23,,,read,,,,1,,,0,,,,,
22237141,The Blizzard,Vladimir Sorokin,"Sorokin, Vladimir",Jamey Gambrell,"=""0374114374""","=""9780374114374""",0,3.69,"Farrar, Straus and Giroux",Hardcover,192,2015,2010,,2020/11/23,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
487468,Shobogenzo: Zen Essays by Dogen,Dōgen,"Dōgen, Dōgen",Thomas Cleary,"=""0824814010""","=""9780824814014""",0,4.19,University of Hawaii Press,Paperback,136,1991,1237,,2020/11/23,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
55072157,The Book of Destiny (The Last Oracle 9),Melissa McShane,"McShane, Melissa",,"=""""","=""""",0,4.27,Night Harbor Publishing,Kindle Edition,371,2020,2020,,2020/11/23,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",0,4.21,Tor Books,Hardcover,332,2011,2011,,2020/11/23,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",0,4.50,Tor Books,Hardcover,572,2008,2008,,2020/11/23,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
13166633,My Heart Is an Idiot: Essays,Davy Rothbart,"Rothbart, Davy",,"=""0374280843""","=""9780374280840""",0,3.60,"Farrar, Straus and Giroux",Hardcover,307,2012,2012,,2020/11/23,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",0,4.22,Tor,Hardcover,448,2019,2019,,2020/11/23,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
15622,Native Son,Richard Wright,"Wright, Richard",,"=""""","=""""",0,4.01,Harper Perennial Modern Classics,Paperback,504,2005,1940,,2020/11/23,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
92123,Cobralingus,Jeff Noon,"Noon, Jeff",,"=""1899598162""","=""9781899598168""",0,3.51,Codex,Paperback,160,2000,2000,,2020/11/23,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
17401136,"Vurt (Vurt, #1)",Jeff Noon,"Noon, Jeff",Lauren Beukes,"=""0230768806""","=""9780230768802""",0,4.05,Tor,Hardcover,368,2013,1993,,2020/11/23,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
22929563,"The Watchmaker of Filigree Street (The Watchmaker of Filigree Street, #1)",Natasha Pulley,"Pulley, Natasha",,"=""1620408333""","=""9781620408339""",4,3.74,Bloomsbury USA,Hardcover,318,2015,2015,2020/07/01,2020/11/23,,,read,,,,1,,,0,,,,,
42975172,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4,4.20,Nan A. Talese,Hardcover,422,2019,2019,2020/07/01,2020/11/23,,,read,,,,1,,,0,,,,,
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey,Paperback,193,2007,1979,2020/10/01,2020/09/09,,,read,,,,1,,,0,,,,,
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",5,4.28,PanMacmillan,Hardcover,600,2015,2015,2020/09/01,2020/09/09,,,read,,,,1,,,0,,,,,
71728,Jonathan Livingston Seagull,Richard Bach,"Bach, Richard",Russell Munson,"=""0743278909""","=""9780743278904""",5,3.85,Scribner,Paperback,112,2006,1970,2020/06/01,2020/09/09,,,read,,,,1,,,0,,,,,
23197269,Aurora,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316098108""","=""9780316098106""",4,3.76,Orbit,Hardcover,466,2015,2015,2019/02/01,2020/09/11,,,read,,,,1,,,0,,,,,
35099631,Slutever: Dispatches from a Sexually Autonomous Woman in a Post-Shame World,Karley Sciortino,"Sciortino, Karley",,"=""1478944765""","=""9781478944768""",4,3.99,Grand Central Publishing,Paperback,288,2018,2018,2019/10/01,2020/09/11,,,read,,,,1,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",4,4.01,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,2000/01/01,2020/09/11,,,read,,,,1,,,0,,,,,
34964938,The Coincidence Makers,Yoav Blum,"Blum, Yoav",,"=""1250146119""","=""9781250146113""",4,3.87,St. Martin's Press,Hardcover,291,2018,2011,2019/07/01,2020/09/11,,,read,,,,1,,,0,,,,,
23848559,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,"Lawson, Jenny",,"=""1250077001""","=""9781250077004""",4,3.89,Flatiron Books,Hardcover,329,2015,2015,2019/08/01,2020/09/11,,,read,,,,1,,,0,,,,,
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",0,4.37,Tor Books,Hardcover,590,2007,2007,,2020/09/09,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
